 The termosensor"s curve: kv188                                                 
  TEMP    U(T)   CODE                    
-57736 1.28
  4.00   1.2501  4000                     
  5.00   1.2459  3987                                                           
  6.00   1.2433  3978                                                           
  7.00   1.2370  3958                                                           
  8.00   1.2299  3936                                                           
  9.00   1.2251  3920                                                           
 10.00   1.2205  3906                                                           
 11.00   1.2148  3887                                                           
 12.00   1.2088  3868                                                           
 13.00   1.2030  3850                                                           
 14.00   1.1971  3831                                                           
 15.00   1.1908  3810                                                           
 16.00   1.1841  3789                                                           
 17.00   1.1771  3767                                                           
 18.00   1.1696  3743                                                           
 19.00   1.1615  3717                                                           
 20.00   1.1521  3687                                                           
 21.00   1.1389  3645                                                           
 22.00   1.1262  3604                                                           
 23.00   1.1178  3577                                                           
 24.00   1.1119  3558                                                           
 25.00   1.1078  3545                                                           
 26.00   1.1049  3536                                                           
 27.00   1.1024  3528                                                           
 28.00   1.1003  3521                                                           
 29.00   1.0987  3516                                                           
 30.00   1.0972  3511                                                           
 31.00   1.0958  3506                                                           
 32.00   1.0944  3502                                                           
 33.00   1.0930  3498                                                           
 34.00   1.0917  3493                                                           
 35.00   1.0904  3489                                                           
 36.00   1.0891  3485                                                           
 37.00   1.0878  3481                                                           
 38.00   1.0866  3477                                                           
 39.00   1.0853  3473                                                           
 40.00   1.0840  3469                                                           
 41.00   1.0826  3464                                                           
 42.00   1.0813  3460                                                           
 43.00   1.0800  3456                                                           
 44.00   1.0787  3452                                                           
 45.00   1.0773  3447                                                           
 46.00   1.0760  3443                                                           
 47.00   1.0747  3439                                                           
 48.00   1.0734  3435                                                           
 49.00   1.0721  3431                                                           
 50.00   1.0708  3426                                                           
 51.00   1.0695  3422                                                           
 52.00   1.0682  3418                                                           
 53.00   1.0669  3414                                                           
 54.00   1.0656  3410                                                           
 55.00   1.0643  3406                                                           
 56.00   1.0631  3402                                                           
 57.00   1.0618  3398                                                           
 58.00   1.0605  3394                                                           
 59.00   1.0592  3390                                                           
 60.00   1.0579  3385                                                           
 61.00   1.0567  3381                                                           
 62.00   1.0554  3377                                                           
 63.00   1.0541  3373                                                           
 64.00   1.0528  3369                                                           
 65.00   1.0515  3365                                                           
 66.00   1.0503  3361                                                           
 67.00   1.0490  3357                                                           
 68.00   1.0477  3353                                                           
 69.00   1.0464  3349                                                           
 70.00   1.0451  3344                                                           
 71.00   1.0439  3340                                                           
 72.00   1.0426  3336                                                           
 73.00   1.0413  3332                                                           
